frequency,workload,tool,run_number,duration,energy_consumption,cpu_usage_percentage,total_datagrams_count,memory_usage_percentage,load_avg
F_LOW,W_LOW,netdata,r1,754,41033.8,37.268565153733526,465469.71,67.3773206442167,8.718521229868228
F_LOW,W_MEDIUM,baseline,r1,807,52405.8,47.91455136540962,1025084.5000000001,68.07972691807542,13.890143042912875
F_HIGH,W_MEDIUM,baseline,r1,780,52890.0,49.7922987012987,1078527.13,67.82398701298702,14.135103896103894
F_MEDIUM,W_MEDIUM,prometheus,r1,725,49109.7,53.74473684210527,981924.75,69.85149122807017,15.155482456140351
F_MEDIUM,W_MEDIUM,baseline,r1,657,42550.9,53.57055183946488,908949.05,60.016822742474915,14.286170568561875
F_LOW,W_MEDIUM,prometheus,r1,768,48464.0,50.87462664714495,948144.41,72.81510980966326,13.720102489019034
F_MEDIUM,W_LOW,baseline,r1,747,40976.1,35.93349926793558,469123.68,70.79005856515373,8.264934114202049
F_MEDIUM,W_HIGH,prometheus,r1,874,72193.0,75.2011111111111,2335204.9299999997,82.458350877193,31.601391812865497
F_LOW,W_LOW,zipkin,r1,777,46420.5,37.19651948051948,514528.22000000003,80.18089610389609,7.5122727272727285
F_LOW,W_MEDIUM,elastic,r1,852,52376.8,43.87678803641092,957556.9299999999,99.21535760728219,12.42336801040312
F_LOW,W_LOW,prometheus,r1,766,41292.6,34.867452415812586,460207.53,52.99431918008784,8.067701317715958
F_LOW,W_MEDIUM,zipkin,r1,774,56276.0,54.90811688311688,1086077.8599999999,63.25118181818182,14.303662337662336
F_LOW,W_LOW,elastic,r1,823,44973.9,32.06768831168831,482795.89,99.20458441558442,9.514142857142858
F_HIGH,W_HIGH,baseline,r1,855,63985.600000000006,71.5434155844156,2093235.1199999999,59.534922077922076,30.13848051948052
F_HIGH,W_MEDIUM,elastic,r1,855,53226.9,45.472649350649355,953326.4099999999,99.21474025974027,14.072688311688314
F_LOW,W_HIGH,elastic,r1,986,74677.8,62.54922340425532,2271753.8499999996,99.22979787234044,25.100978723404257
F_LOW,W_HIGH,zipkin,r1,993,79302.5,76.927,2225927.91,66.55634042553191,32.88522340425532
F_MEDIUM,W_HIGH,baseline,r1,898,69392.5,68.94538011695907,2251927.63,66.74556725146199,24.533929824561405
F_HIGH,W_LOW,elastic,r1,745,40775.3,34.202119883040936,442106.27,99.19555555555557,6.921710526315791
F_LOW,W_HIGH,netdata,r1,909,69382.79999999999,69.06523976608187,2234557.8,64.43474853801169,25.111438596491226
F_HIGH,W_LOW,prometheus,r1,783,45644.7,34.00555844155844,516264.43,57.526506493506496,7.127935064935065
F_MEDIUM,W_LOW,netdata,r1,779,45280.600000000006,34.45566233766234,511946.41,57.89980519480519,7.44912987012987
F_HIGH,W_HIGH,elastic,r1,1009,74785.5,66.01707135250265,2153967.99,99.21523961661343,32.33871139510117
F_MEDIUM,W_HIGH,netdata,r1,896,69690.20000000001,70.16164912280702,2270209.19,61.239789473684205,29.08927485380117
F_HIGH,W_HIGH,netdata,r1,915,70433.29999999999,72.00458479532165,2200557.93,61.24559064327485,29.851719298245616
F_HIGH,W_LOW,zipkin,r1,759,41875.299999999996,40.399370424597365,466004.99000000005,68.21937042459737,7.894524158125916
F_MEDIUM,W_LOW,prometheus,r1,717,41770.2,37.718947368421055,491464.56999999995,67.19893274853801,7.985862573099415
F_LOW,W_LOW,baseline,r1,711,41303.399999999994,35.81137426900584,495547.77,65.72701754385965,7.9317982456140355
F_MEDIUM,W_LOW,elastic,r1,776,44803.5,33.58092207792208,514041.56000000006,99.17424675324676,8.040805194805195
F_LOW,W_MEDIUM,netdata,r1,756,46680.7,47.773523391812866,977875.6399999999,55.56872807017543,12.053903508771928
F_HIGH,W_HIGH,zipkin,r1,1053,84566.6,74.556005859375,2372527.0100000002,69.008515625,30.08337890625
F_MEDIUM,W_MEDIUM,elastic,r1,646,46083.5,64.3599331103679,1051010.29,99.21120401337794,23.2135618729097
F_HIGH,W_HIGH,prometheus,r1,923,69567.5,68.84504103165298,2187498.9800000004,60.773528722157096,26.574941451990632
F_MEDIUM,W_MEDIUM,netdata,r1,723,49307.600000000006,52.573245614035095,986039.6,56.975190058479534,14.104049707602343
F_LOW,W_HIGH,baseline,r1,918,70752.1,73.33837426900584,2196116.9299999997,64.29973099415204,32.27962573099415
F_LOW,W_HIGH,prometheus,r1,868,72575.7,76.693981264637,2329350.64,70.93806791569087,36.40201405152225
F_HIGH,W_LOW,netdata,r1,718,42931.9,38.575812591508054,498695.07000000007,62.6504831625183,8.321229868228404
F_HIGH,W_LOW,baseline,r1,770,40874.8,37.331976573938505,457252.79999999993,61.838535871156665,7.680014641288433
F_HIGH,W_MEDIUM,prometheus,r1,726,49527.5,53.627803806734995,968149.0299999999,65.33698389458273,14.212386530014642
F_HIGH,W_MEDIUM,netdata,r1,717,49713.3,53.59840409956076,994216.15,66.21103953147878,14.903221083455344
F_MEDIUM,W_HIGH,elastic,r1,1002,74810.79999999999,65.09339723109692,2192414.15,99.1799148029819,29.33106496272631
F_MEDIUM,W_HIGH,zipkin,r1,1095,83064.1,70.03291707317072,2261005.5100000002,66.43599999999999,28.709443902439023
F_HIGH,W_MEDIUM,zipkin,r1,753,52267.7,60.12298245614036,938789.9700000001,66.37834795321638,15.369736842105263
F_MEDIUM,W_MEDIUM,zipkin,r1,744,51735.600000000006,60.69089181286551,947772.83,67.53033625730994,16.054970760233918
F_MEDIUM,W_LOW,zipkin,r1,785,47493.8,39.73235064935064,521308.08999999997,66.71466233766233,9.208597402597402
F_MEDIUM,W_MEDIUM,baseline,r2,762,46475.1,47.96518301610542,955757.88,68.68840409956077,13.14267935578331
F_MEDIUM,W_MEDIUM,prometheus,r2,782,53709.7,50.657503250975296,1079569.98,75.7049544863459,14.491885565669701
F_MEDIUM,W_LOW,prometheus,r2,747,42327.3,38.1110980966325,472894.6,73.28963396778917,8.593704245973646
F_LOW,W_LOW,elastic,r2,784,45347.6,32.88176853055917,512888.02,99.20734720416124,8.619115734720415
F_MEDIUM,W_HIGH,elastic,r2,995,74195.79999999999,62.96287234042554,2231605.49,99.22886170212766,26.456840425531915
F_MEDIUM,W_MEDIUM,elastic,r2,757,47746.100000000006,48.52054172767203,911873.08,99.20639824304538,13.718667642752562
F_LOW,W_HIGH,elastic,r2,939,69545.9,67.76804678362572,2130205.2199999997,99.21706432748537,30.78494736842105
F_LOW,W_LOW,netdata,r2,764,40422.5,33.22437134502924,459165.74,56.32334795321637,6.2105555555555565
F_LOW,W_LOW,zipkin,r2,793,47174.0,36.178558441558444,508848.78,63.92731168831169,7.236688311688312
F_HIGH,W_MEDIUM,zipkin,r2,812,57200.2,57.12306493506493,1021465.86,70.26746753246753,15.727766233766236
F_LOW,W_MEDIUM,netdata,r2,741,48277.1,50.32899122807017,933087.3700000001,69.28042397660819,12.584736842105261
F_HIGH,W_HIGH,elastic,r2,1042,80952.6,61.61393170731707,2357587.14,99.2152,24.250448780487805
F_MEDIUM,W_LOW,zipkin,r2,910,49322.399999999994,31.347894736842107,494597.98,58.400783625730995,7.186023391812864
