__run_id,__done,run_number,tool,frequency,workload
run_17,DONE,r1,netdata,F_LOW,W_LOW
run_7,DONE,r1,baseline,F_LOW,W_MEDIUM
run_1,DONE,r1,baseline,F_HIGH,W_MEDIUM
run_31,DONE,r1,prometheus,F_MEDIUM,W_MEDIUM
run_4,DONE,r1,baseline,F_MEDIUM,W_MEDIUM
run_34,DONE,r1,prometheus,F_LOW,W_MEDIUM
run_5,DONE,r1,baseline,F_MEDIUM,W_LOW
run_30,DONE,r1,prometheus,F_MEDIUM,W_HIGH
run_26,DONE,r1,zipkin,F_LOW,W_LOW
run_43,DONE,r1,elastic,F_LOW,W_MEDIUM
run_35,DONE,r1,prometheus,F_LOW,W_LOW
run_25,DONE,r1,zipkin,F_LOW,W_MEDIUM
run_44,DONE,r1,elastic,F_LOW,W_LOW
run_0,DONE,r1,baseline,F_HIGH,W_HIGH
run_37,DONE,r1,elastic,F_HIGH,W_MEDIUM
run_42,DONE,r1,elastic,F_LOW,W_HIGH
run_24,DONE,r1,zipkin,F_LOW,W_HIGH
run_3,DONE,r1,baseline,F_MEDIUM,W_HIGH
run_38,DONE,r1,elastic,F_HIGH,W_LOW
run_15,DONE,r1,netdata,F_LOW,W_HIGH
run_29,DONE,r1,prometheus,F_HIGH,W_LOW
run_14,DONE,r1,netdata,F_MEDIUM,W_LOW
run_36,DONE,r1,elastic,F_HIGH,W_HIGH
run_12,DONE,r1,netdata,F_MEDIUM,W_HIGH
run_9,DONE,r1,netdata,F_HIGH,W_HIGH
run_20,DONE,r1,zipkin,F_HIGH,W_LOW
run_32,DONE,r1,prometheus,F_MEDIUM,W_LOW
run_8,DONE,r1,baseline,F_LOW,W_LOW
run_41,DONE,r1,elastic,F_MEDIUM,W_LOW
run_16,DONE,r1,netdata,F_LOW,W_MEDIUM
run_18,DONE,r1,zipkin,F_HIGH,W_HIGH
run_40,DONE,r1,elastic,F_MEDIUM,W_MEDIUM
run_27,DONE,r1,prometheus,F_HIGH,W_HIGH
run_13,DONE,r1,netdata,F_MEDIUM,W_MEDIUM
run_6,DONE,r1,baseline,F_LOW,W_HIGH
